Baustein_ID,Baustein_Titel,Baustein_Typ,Baustein_Prio,Baustein_von,Baustein_bis,Baustein_Zeitvon,Baustein_Zeitbis,Sensor_Nr,Sensor_Min,Sensor_Max,Min_vergangenseitmessung,zufallszahl_set,zufallszahl_position,Baustein_Text,Baustein_Vorspann,Baustein_Abspann,Baustein_Quelle,bild_name,bild_bu,bild_credit
1,"Wüst und leer",textr,0,1,5,,,0,0,0,0,1,1,"Am Anfang war das Becken wüst und leer.",,,,,,
2,"Rückkehr ins kleine Becken am Rande des Schreibtischs",textr,0,1,60,,,0,0,0,0,1,2,"Bewegte Tage im kleinen Becken am Rande des Schreibtischs.",,,,,,
3,"Ein gewöhnlicher Tag?",textr,0,1,60,,,0,0,0,0,1,3,"Es begann als ganz normaler Tag im Aquarium.",,,,,,
4,"Tag der Entscheidung",textr,0,1,60,,,0,0,0,0,1,4,"Tag der Entscheidung in der Ursuppe.",,,,,,
5,,head,0,1,60,,,1,21,24,0,1,1,"Perfekte Temperatur im Becken!",,,,,,
6,,text,0,1,60,,,1,21,24,0,1,1,"Die Urzeitkrebse fühlen sich sichtlich wohl. Es herrscht optimale Temperatur in der künstlichen Pfütze, die nun ihre Heimat ist. In der Webcam tummeln sich die Tiere.",,,,,,
7,,text,0,1,60,,,1,0,20,0,1,1,"Das Wasser könnte etwas wärmer sein für einen Krebs. Da die Krebse ihre Temperatur nicht selbst regulieren können, bewegen sie sich langsamer.",,,,,,
8,,head,0,1,60,,,1,0,20,0,1,1,"Etwas kalt",,,,,,
9,,head,0,1,60,,,1,30,40,0,1,1,"Es ist zu warm!",,,,,,
10,,text,0,1,60,,,1,30,40,0,1,1,"Das Wasser im Becken ist gerade  etwas zu warm. Wahrscheinlich hat die Sonne die künstliche Pfütze erhitzt. Die Krebse lieben es eher kühler. Wenn die Temperatur nicht stimmt, pflanzen sie sich nicht fort. ",,,,,,
11,,head,0,1,60,,,1,30,40,0,1,1,"Droht der Hitzetod?",,,,,,
12,,text,0,1,60,,,1,30,40,0,1,1,"Die Urzeitkrebse fühlen sich nicht so wohl. Das Wasser ist viel zu warm. Aus unerklärlichen Gründen hat sich das Wasser viel zu sehr aufgeheizt. Droht den Tieren jetzt der Hitzetod?","Es ist brüllend heiß!","Was wird der morgige Tag bringen? Wird das Wasser abkühlen?",,,,
13,,text,0,1,60,,,2,21,24,0,1,1,"Optimaler Wasserstand im Becken!",,,,,,
14,,text,0,1,60,,,2,21,24,0,1,1,"Die Urzeitkrebse fühlen sich wohl. Im Becken ist genug Wasser. Was im Aquarium selbtverständlich klingt, ist im natürlichen Lebensraum, der Pfütze, nur eine Frage der Zeitt. Wenn das Wasser weniger wird muss ein Triops sich gepaart haben und Eier abgelegt haben. ",,,,,,
15,,text,0,1,60,,,2,3,20,0,1,1,"Das Wasser könnte etwas höher sein.",,,,,,
16,,head,0,1,60,,,7,30,40,0,1,1,"Es ist zu viel Wasser!",,,,,,
17,,text,0,1,60,,,2,30,40,0,1,1,"Die Urzeitkrebse fühlen sich nicht so wohl. Das Wasser ist etwas zu viel.Droht das Überschwappen?",,,,,,
18,,head,0,1,60,,,2,21,24,0,1,1,"Optimale Helligkeit im Becken!",,,,,,
19,,text,0,1,60,,,2,21,24,0,1,1,"Die Urzeitkrebse sonnen sich. Es ist hell.",,,,,,
20,,head,0,1,60,,,2,0,20,0,1,1,"Sehnsucht nach Licht!",,,,,,
21,,text,0,1,60,,,2,0,20,0,1,1,"Die Urzeitkrebse sind schlapp. Es könnte etwas heller sein.",,,,,,
22,,head,0,1,60,,,2,30,40,0,1,1,"Die künstliche Sonne brennt",,,,,,
23,,text,0,1,60,,,2,30,40,0,1,1,"Die Urzeitkrebse sind geblendet. Das Licht ist etwas zu hell",,,,,,
